Consultas,"12/08/18-8/09/18, Clics","15/07/18-11/08/18, Clics","12/08/18-8/09/18, Impresiones","15/07/18-11/08/18, Impresiones","12/08/18-8/09/18, CTR","15/07/18-11/08/18, CTR","12/08/18-8/09/18, Posición","15/07/18-11/08/18, Posición"
fiesta de san juan peru,13,16,380,422,"3,42 %","3,79 %","7,7","7,1"
eventos cusco 2018,13,13,36,42,"36,11 %","30,95 %","2,1","2,4"
chinchero archaeological site,13,8,46,32,"28,26 %",25 %,"1,3","1,5"
koricancha,13,17,465,577,"2,8 %","2,95 %","5,4","4,7"
impuestos nacionales peru,12,0,30,0,40 %,0 %,"1,2","0,00"
economia de machu picchu,12,0,36,0,"33,33 %",0 %,"2,1","0,00"
señor de los milagros resumen,12,23,505,305,"2,38 %","7,54 %","5,5","3,5"
valle sagrado cusco,12,16,615,969,"1,95 %","1,65 %","7,5","6,9"
que hacer en cuzco,12,14,451,695,"2,66 %","2,01 %","9,4","8,9"
bus machu picchu,12,0,1572,0,"0,76 %",0 %,"7,1","0,00"
inka museum cusco,12,15,219,247,"5,48 %","6,07 %","2,7","2,6"
tours en cusco peru,12,11,82,73,"14,63 %","15,07 %","2,8","1,9"
festa san juan,12,0,19,0,"63,16 %",0 %,"2,9","0,00"
casa concha cusco,12,10,47,41,"25,53 %","24,39 %","1,1","1,1"
moray peru,12,18,977,1215,"1,23 %","1,48 %","4,8","4,4"
que elementos hay en machu picchu,12,0,58,0,"20,69 %",0 %,"1,1","0,00"
machu picchu descripción,12,0,30,0,40 %,0 %,"1,0","0,00"
descripcion de la plaza de armas,12,0,51,0,"23,53 %",0 %,"1,2","0,00"
cosituc cusco,12,11,155,161,"7,74 %","6,83 %","3,1","2,8"
cusco ciudad,12,8,450,527,"2,67 %","1,52 %","3,5","3,0"
museos de cusco,12,16,105,98,"11,43 %","16,33 %","1,7","1,3"
machu picchu ciudadela,12,10,45,42,"26,67 %","23,81 %","1,0","1,0"
casa del inca garcilaso de la vega,12,21,76,59,"15,79 %","35,59 %","3,1","2,5"
cuzco altura,12,20,621,749,"1,93 %","2,67 %","2,5","2,3"
pueblo de maras,12,0,41,0,"29,27 %",0 %,"1,6","0,00"
historia de la fiesta de san juan peru,12,9,54,46,"22,22 %","19,57 %","2,9","2,2"
fiesta de la virgen de la candelaria,12,9,448,433,"2,68 %","2,08 %","8,0","8,0"
mapa machu picchu,12,8,320,304,"3,75 %","2,63 %","1,3","1,1"
peru exchange rate,12,0,828,0,"1,45 %",0 %,"6,8","0,00"
atv tour cusco,12,0,79,0,"15,19 %",0 %,"3,9","0,00"
citadel machu picchu,12,9,33,52,"36,36 %","17,31 %","1,1","1,1"
paquetes turisticos cusco,12,7,606,345,"1,98 %","2,03 %",11,10
banca comercial en el peru,12,0,32,0,"37,5 %",0 %,"1,1","0,00"
cusco peru.com,12,11,32,27,"37,5 %","40,74 %","1,0","1,0"
aniversario de cusco 2018,12,15,41,31,"29,27 %","48,39 %","1,0","1,0"
cual es el clima de la selva,12,0,409,0,"2,93 %",0 %,"6,7","0,00"
altura de cuzco,12,21,517,623,"2,32 %","3,37 %","2,7","2,5"
clima de la costa peruana para niños,12,11,147,223,"8,16 %","4,93 %","6,4","4,3"
laguna de huacachina descripcion,12,17,145,88,"8,28 %","19,32 %","3,1","1,7"
altura de lima y cusco,12,9,236,302,"5,08 %","2,98 %","5,9","4,9"
cuantos impuestos hay en el peru,12,7,40,10,30 %,70 %,"1,4","1,0"
vale sul cusco,11,13,29,23,"37,93 %","56,52 %","1,0","1,0"
guia turistica cusco,11,26,36,59,"30,56 %","44,07 %","1,1","1,0"
city tour,11,56,234,452,"4,7 %","12,39 %","2,5","8,4"
la ciudadela de machu picchu,11,25,165,157,"6,67 %","15,92 %","2,1","1,0"
mistura food festival,11,12,89,102,"12,36 %","11,76 %","2,8","2,2"
saywite,11,9,499,381,"2,2 %","2,36 %","4,1","3,8"
parque de la exposicion horario,11,10,112,153,"9,82 %","6,54 %","2,4","2,0"
guia de cusco,11,11,21,21,"52,38 %","52,38 %","1,4","1,3"
las lineas de nazca resumen,11,22,95,105,"11,58 %","20,95 %","5,0","4,2"
entradas a machu picchu,11,48,807,1869,"1,36 %","2,57 %","8,9","7,0"
cusco cathedral hours,11,15,46,32,"23,91 %","46,88 %","2,0","1,8"
informacion del volcan misti,11,0,40,0,"27,5 %",0 %,"1,8","0,00"
la selva presenta dos climas diferentes verdadero o falso,11,0,29,0,"37,93 %",0 %,"1,0","0,00"
museo arte popular cusco,11,10,37,44,"29,73 %","22,73 %","1,1","1,1"
clima en la selva peruana,11,19,68,88,"16,18 %","21,59 %","1,0","1,0"
plaza de armas de lima,11,17,1886,2279,"0,58 %","0,75 %","4,1","3,3"
la laguna de huacachina,11,0,273,0,"4,03 %",0 %,"7,0","0,00"
pueblo en el valle sagrado,11,0,132,0,"8,33 %",0 %,"2,7","0,00"
camino inca,11,36,1276,1697,"0,86 %","2,12 %",11,"8,4"
cusco turismo,11,21,713,1306,"1,54 %","1,61 %","9,9","8,9"
tours en machu picchu,11,13,48,57,"22,92 %","22,81 %","2,2","1,6"
plaza de armas de ica,11,20,565,885,"1,95 %","2,26 %","4,8","4,5"
machupichu,11,104,6453,14414,"0,17 %","0,72 %","9,0","4,3"
cusco machu picchu tour,11,17,123,142,"8,94 %","11,97 %","7,0","5,7"
museo santa catalina cusco,11,14,34,44,"32,35 %","31,82 %","1,3","1,3"
valle sagrado de los incas altura,11,0,47,0,"23,4 %",0 %,"1,2","0,00"
donde comprar boleto turistico cusco,11,17,110,159,10 %,"10,69 %","4,4","3,0"
que es una feria gastronomica,11,0,72,0,"15,28 %",0 %,"3,6","0,00"
caracteristicas del relieve del cañon de cotahuasi,11,0,40,0,"27,5 %",0 %,"2,0","0,00"
cuanto cuesta la entrada a sacsayhuaman,11,14,33,53,"33,33 %","26,42 %","2,3","2,2"
boleto turístico cusco 2018,11,8,50,23,22 %,"34,78 %","3,3","2,3"
datos interesantes de arequipa,11,10,48,32,"22,92 %","31,25 %","1,3","1,1"
guia machu picchu,11,9,187,175,"5,88 %","5,14 %","4,5","4,8"
palacios incas,11,10,69,51,"15,94 %","19,61 %","1,8","1,2"
sacsayhuaman cusco,11,14,502,603,"2,19 %","2,32 %","4,6","2,9"
ubicacion de arequipa,11,0,1539,0,"0,71 %",0 %,11,"0,00"
bosque de qenqo,11,0,42,0,"26,19 %",0 %,"1,8","0,00"
cuales son los climas en la costa,11,16,234,261,"4,7 %","6,13 %","4,6","3,3"
bus aguascalientes machu picchu precio,11,0,54,0,"20,37 %",0 %,"2,4","0,00"
precio boleto turistico cusco,11,15,20,34,55 %,"44,12 %","1,0","1,0"
porque machu picchu fue declarado patrimonio dela humanidad,11,0,99,0,"11,11 %",0 %,"3,5","0,00"
puca pucara cusco,11,20,187,286,"5,88 %","6,99 %","3,4","4,1"
tour machupichu,11,23,169,185,"6,51 %","12,43 %","4,7","2,5"
como es el clima en la selva,11,10,481,244,"2,29 %","4,1 %","5,8","5,2"
tour valle sagrado,11,23,402,702,"2,74 %","3,28 %",10,"6,2"
tour montaña 7 colores precio,11,0,222,0,"4,95 %",0 %,"7,6","0,00"
clima de selva,11,12,533,358,"2,06 %","3,35 %","8,2","7,6"
ubicacion del volcan misti,11,0,66,0,"16,67 %",0 %,"3,5","0,00"
clima del peru,11,19,711,770,"1,55 %","2,47 %","9,5","7,3"
maras y moray,11,17,644,754,"1,71 %","2,25 %","6,1","5,0"
el clima de la costa,10,13,607,560,"1,65 %","2,32 %","5,2","4,6"
sitios turisticos de cusco,10,21,208,345,"4,81 %","6,09 %","7,0","4,4"
clima y temperatura durante el año de la costa,10,0,23,0,"43,48 %",0 %,"1,4","0,00"
el señor de los milagros resumen,10,13,225,151,"4,44 %","8,61 %","5,9","4,1"
porque agosto es el mes del viento,10,0,37,0,"27,03 %",0 %,"1,0","0,00"
tour de cusco a machu picchu,10,24,102,117,"9,8 %","20,51 %","2,2","2,4"
impuestos del peru,10,16,45,56,"22,22 %","28,57 %","2,5","2,0"
maras y moray tour,10,15,103,109,"9,71 %","13,76 %","3,0","2,6"
machupicchu cusco,10,9,146,213,"6,85 %","4,23 %","3,3","4,2"
qenqo bosque,10,14,90,107,"11,11 %","13,08 %","2,2","2,1"
datos curiosos de arequipa,10,19,117,197,"8,55 %","9,64 %","4,1","3,2"
cusco peru mapa,10,20,479,630,"2,09 %","3,17 %","5,9","5,0"
tour en cuzco,10,15,86,113,"11,63 %","13,27 %","5,1","2,7"
historia de raqchi,10,0,39,0,"25,64 %",0 %,"3,6","0,00"
emufec cronograma 2018,10,8,22,15,"45,45 %","53,33 %","1,0","1,0"
museo qorikancha,10,18,74,80,"13,51 %","22,5 %","1,1","1,1"
como es el clima de la sierra,10,21,587,479,"1,7 %","4,38 %","5,2","4,1"
q'enqo,10,19,280,320,"3,57 %","5,94 %","2,1","2,0"
valle sagrado altitud,10,0,22,0,"45,45 %",0 %,"1,0","0,00"
sacsayhuaman resumen,10,31,101,184,"9,9 %","16,85 %","3,7","2,4"
que incluye el boleto turistico cusco,10,0,24,0,"41,67 %",0 %,"1,5","0,00"
tren a machu picchu,10,40,1518,3058,"0,66 %","1,31 %","9,5","7,9"
impuesto peru,10,10,69,43,"14,49 %","23,26 %","1,1","1,0"
gastronomia cusqueña pdf,10,0,28,0,"35,71 %",0 %,"1,6","0,00"
descripcion del volcan misti,10,8,46,20,"21,74 %",40 %,"1,0","1,0"
que visitar en machu picchu,10,12,46,57,"21,74 %","21,05 %","1,4","1,8"
qorikancha museum,10,18,42,61,"23,81 %","29,51 %","1,0","1,1"
clima en peru,10,27,1455,2810,"0,69 %","0,96 %",10,"8,3"
precio bus a machu picchu,10,11,20,23,50 %,"47,83 %","2,6","1,2"
inti raymi peru,10,0,275,0,"3,64 %",0 %,"8,5","0,00"
cusco atractivos turisticos,10,22,141,184,"7,09 %","11,96 %","4,6","2,9"
city tour cusco itinerario,10,14,83,85,"12,05 %","16,47 %","3,9","2,9"
tour cusco machupicchu 1 dia,10,0,25,0,40 %,0 %,"1,6","0,00"
city tours cusco,10,28,125,211,8 %,"13,27 %","3,1","2,5"
tours machu picchu,10,36,365,504,"2,74 %","7,14 %","3,9","9,9"
tour a machu picchu desde cusco precios,10,0,58,0,"17,24 %",0 %,"5,4","0,00"
machu picchu tours,10,55,948,2127,"1,05 %","2,59 %",23,29
pachamama,10,13,962,2355,"1,04 %","0,55 %","9,7","9,9"
bus a machu picchu precio,10,19,29,44,"34,48 %","43,18 %","2,1","1,0"
casa goyeneche arequipa,10,0,121,0,"8,26 %",0 %,"1,6","0,00"
pisac ruinas,10,15,469,423,"2,13 %","3,55 %","6,5","5,5"
historia de la fiesta de san juan en la selva,10,14,126,173,"7,94 %","8,09 %","3,8","3,8"
historia del coricancha,10,0,30,0,"33,33 %",0 %,"1,9","0,00"
qenqo cusco historia,10,0,24,0,"41,67 %",0 %,"2,1","0,00"
ticket turistico cusco 2018,10,0,24,0,"41,67 %",0 %,"1,0","0,00"
cusco boleto turistico 2018,10,0,14,0,"71,43 %",0 %,"1,4","0,00"
citadel of machu picchu,10,0,36,0,"27,78 %",0 %,"1,1","0,00"
boleto machu picchu,10,44,926,1976,"1,08 %","2,23 %","8,6","6,3"
la merced cusco,10,0,153,0,"6,54 %",0 %,"6,8","0,00"
climas de la costa peruana,10,19,163,158,"6,13 %","12,03 %","6,1","4,5"
museo precolombino cusco,10,13,89,96,"11,24 %","13,54 %","1,5","1,3"
atractivos de cusco,10,19,73,95,"13,7 %",20 %,"3,4","2,5"
boleto turistico cusco ministerio de cultura,10,11,45,45,"22,22 %","24,44 %","2,6","2,6"
agosto mes del viento,10,0,27,0,"37,04 %",0 %,"1,1","0,00"
tour a machupicchu,10,21,93,102,"10,75 %","20,59 %","3,9","3,2"
boleto turistico parcial,10,13,54,59,"18,52 %","22,03 %","2,6","1,9"
parque arqueológico de sacsayhuaman,10,0,92,0,"10,87 %",0 %,"6,0","0,00"
como es el clima de la costa,10,18,927,677,"1,08 %","2,66 %","5,3","4,4"
la plaza de armas de lima,10,14,283,251,"3,53 %","5,58 %","3,3","2,2"
altura del cusco,10,16,207,274,"4,83 %","5,84 %","2,5","2,0"
descripcion del machu picchu,9,9,26,23,"34,62 %","39,13 %","1,0","1,0"
ciudad de lima,9,29,1408,2060,"0,64 %","1,41 %",10,"9,1"
maras moray cusco,9,20,159,312,"5,66 %","6,41 %","3,7","2,8"
postres cusqueños,9,27,57,139,"15,79 %","19,42 %","3,0","1,7"
machu picchu guia turistica,9,0,25,0,36 %,0 %,"1,0","0,00"
que es el parque de las leyendas,9,0,60,0,15 %,0 %,"2,8","0,00"
peru machu picchu turismo,9,0,49,0,"18,37 %",0 %,"2,1","0,00"
catedral de arequipa,9,10,2806,2078,"0,32 %","0,48 %","4,5","4,0"
museo de coricancha,9,14,37,60,"24,32 %","23,33 %","1,1","1,0"
fiestas patronales de la sierra peruana,9,12,419,291,"2,15 %","4,12 %","6,0","5,3"
cusco festivals 2018,9,0,34,0,"26,47 %",0 %,"2,1","0,00"
museo de arte religioso,9,10,104,122,"8,65 %","8,2 %","2,8","2,7"
lugares para visitar en machu picchu,9,12,59,53,"15,25 %","22,64 %","1,8","2,2"
inti raymi festival,9,14,178,166,"5,06 %","8,43 %","7,6","7,1"
informacion sobre el volcan misti,9,0,34,0,"26,47 %",0 %,"2,5","0,00"
machu picchu que hacer,9,18,78,61,"11,54 %","29,51 %","2,8","1,4"
tipon peru,9,0,82,0,"10,98 %",0 %,"7,6","0,00"
el coricancha,9,10,177,171,"5,08 %","5,85 %","3,2","2,3"
cusco mal de altura,9,12,30,22,30 %,"54,55 %","3,1","1,3"
inti raymi y virgen de la candelaria son,9,0,36,0,25 %,0 %,"1,0","0,00"
como es el clima de la costa peruana,9,8,124,107,"7,26 %","7,48 %","5,1","4,4"
fiestas de la region andina del peru,9,0,27,0,"33,33 %",0 %,"2,0","0,00"
excursion machu picchu desde cusco,9,0,65,0,"13,85 %",0 %,"4,0","0,00"
cusco peru altura,9,0,88,0,"10,23 %",0 %,"2,4","0,00"
señor de los milagros,9,33,2671,4562,"0,34 %","0,72 %","8,4","9,3"
pisaq archaeological park,9,9,53,38,"16,98 %","23,68 %","1,6","1,5"
el señor de los milagros,9,27,1714,2095,"0,53 %","1,29 %","8,3","8,1"
campo de marte,9,0,3043,0,"0,3 %",0 %,"4,6","0,00"
resumen de las lineas de nazca,9,0,73,0,"12,33 %",0 %,"4,7","0,00"
feira mistura peru 2018,9,12,60,36,15 %,"33,33 %","2,7","1,9"
virgen de la candelaria historia,9,9,64,40,"14,06 %","22,5 %","5,1","5,7"
santuario nacional megantoni,9,0,362,0,"2,49 %",0 %,"8,2","0,00"
todo sobre arequipa,9,12,593,302,"1,52 %","3,97 %",10,"8,1"
boletos machu picchu banco de la nacion,9,0,177,0,"5,08 %",0 %,"7,1","0,00"
cusco jungle tour,9,19,49,55,"18,37 %","34,55 %","2,4","2,2"
iglesia san francisco lima horario de misas,9,9,85,115,"10,59 %","7,83 %","7,9","8,4"
moeda peru,9,19,3080,2679,"0,29 %","0,71 %","8,7","7,5"
plazas de lima,9,11,100,102,9 %,"10,78 %","3,8","2,8"
archbishop palace cusco,9,0,21,0,"42,86 %",0 %,"1,0","0,00"
fiesta religiosa de la selva,9,8,550,456,"1,64 %","1,75 %","6,9","5,4"
museo historico regional,9,17,135,135,"6,67 %","12,59 %","2,9","1,5"
fiesta del inti raymi,9,11,152,465,"5,92 %","2,37 %","7,2","7,4"
impuestos del gobierno central,9,0,22,0,"40,91 %",0 %,"1,0","0,00"
museu inca,9,0,44,0,"20,45 %",0 %,"1,6","0,00"
convento de santa catalina cusco,9,12,49,42,"18,37 %","28,57 %","1,8","2,3"
tour valle sagrado y machu picchu,9,8,84,71,"10,71 %","11,27 %","5,2","4,5"
peru cusco,9,8,1127,1531,"0,8 %","0,52 %",12,10
www.machupicchu.gob.pe,9,20,636,1184,"1,42 %","1,69 %","6,0","5,0"
quenco cusco,9,11,263,278,"3,42 %","3,96 %","3,0","2,4"
clima de la region selva,9,22,97,109,"9,28 %","20,18 %","2,9","3,0"
eventos culturales que ofrece el estado peruano,9,0,236,0,"3,81 %",0 %,"9,0","0,00"
cusco events today,9,0,30,0,30 %,0 %,"1,1","0,00"
tour machu picchu precios,9,11,215,271,"4,19 %","4,06 %","8,7","6,6"
entradas machu picchu,9,32,597,1489,"1,51 %","2,15 %","9,0","6,6"
legends park lima,9,0,46,0,"19,57 %",0 %,"1,1","0,00"
señor de huanca cusco,9,0,454,0,"1,98 %",0 %,"4,9","0,00"
volcan misti resumen,9,7,16,19,"56,25 %","36,84 %","1,8","1,8"
tour a cuzco,9,9,84,84,"10,71 %","10,71 %","1,9","2,1"
palacio de gobierno,9,0,2583,0,"0,35 %",0 %,"6,6","0,00"
comprar entradas para machu picchu,9,10,69,89,"13,04 %","11,24 %","4,4","2,1"
peru boleto turistico,9,0,18,0,50 %,0 %,"2,9","0,00"
caracteristicas de machu picchu,9,0,894,0,"1,01 %",0 %,"9,8","0,00"
lima perú,9,13,5272,10388,"0,17 %","0,13 %","7,8","7,1"
waynapicchu,9,25,639,854,"1,41 %","2,93 %","4,7","3,7"
palacio inca,9,0,115,0,"7,83 %",0 %,"5,2","0,00"
museo inca,9,17,173,233,"5,2 %","7,3 %","2,4","1,8"
cuales son los meses mas lluviosos en la selva,9,0,152,0,"5,92 %",0 %,"4,5","0,00"
selva del peru clima,9,8,12,20,75 %,40 %,"1,0","1,0"
peru impuestos,9,0,31,0,"29,03 %",0 %,"1,3","0,00"
arequipa datos importantes,9,0,19,0,"47,37 %",0 %,"1,5","0,00"
museo qoricancha,9,13,45,35,20 %,"37,14 %","1,3","1,1"
qenqo historia,9,0,60,0,15 %,0 %,"2,9","0,00"
lagoa huacachina,8,0,102,0,"7,84 %",0 %,"3,0","0,00"
porque en agosto hay mas viento,8,14,123,351,"6,5 %","3,99 %","8,4","8,9"
fisa cusco 2018,8,17,65,53,"12,31 %","32,08 %","2,5","1,4"
raqchi peru,8,0,186,0,"4,3 %",0 %,"7,0","0,00"
turismo de machu picchu,8,0,32,0,25 %,0 %,"1,3","0,00"
aguas calientes,8,0,954,0,"0,84 %",0 %,"9,5","0,00"
cultura peruana,8,18,576,371,"1,39 %","4,85 %",10,"8,5"
tour machupicchu,8,24,86,115,"9,3 %","20,87 %","4,8","2,8"
museo inka cusco precio,8,15,20,25,40 %,60 %,"1,8","1,1"
ollantaytambo horario,8,15,21,19,"38,1 %","78,95 %","1,4","1,4"
agencia turismo cusco,8,8,106,102,"7,55 %","7,84 %","1,5","1,0"
descripción del machu picchu,8,0,25,0,32 %,0 %,"1,0","0,00"
resumen de machu picchu,8,0,337,0,"2,37 %",0 %,"7,5","0,00"
templo coricancha,8,15,218,244,"3,67 %","6,15 %","2,8","1,8"
tour cusco a machu picchu,8,11,36,41,"22,22 %","26,83 %","2,3","1,7"
virgin of carmen,8,37,104,288,"7,69 %","12,85 %","3,2","2,6"
impuesto en el peru,8,7,33,45,"24,24 %","15,56 %","2,7","2,9"
lugares turisticos cusco,8,43,433,759,"1,85 %","5,67 %","8,5","5,6"
qorikancha hours,8,0,31,0,"25,81 %",0 %,"1,8","0,00"
que es el inti raymi resumen corto,8,14,29,25,"27,59 %",56 %,"2,0","1,3"
cusco city tour,8,26,308,439,"2,6 %","5,92 %",11,"4,0"
festividades cusco 2018,8,0,24,0,"33,33 %",0 %,"2,3","0,00"
boleto turistico parcial cusco,8,0,18,0,"44,44 %",0 %,"1,5","0,00"
rafting cusco,8,18,178,167,"4,49 %","10,78 %","7,5","4,9"
la fiesta del inti raymi resumen corto,8,0,21,0,"38,1 %",0 %,"2,7","0,00"
guia cusco,8,10,29,34,"27,59 %","29,41 %","1,5","2,2"
eventos cusco,8,0,118,0,"6,78 %",0 %,"7,1","0,00"
plaza de armas puno,8,15,258,324,"3,1 %","4,63 %","2,4","2,8"
ficha informativa de machu picchu,8,8,225,101,"3,56 %","7,92 %","4,3","4,3"
cultura de cusco,8,15,129,151,"6,2 %","9,93 %","6,5","4,6"
que visitar en cusco,8,8,345,381,"2,32 %","2,1 %","9,6","9,1"
tours para cusco,8,19,105,139,"7,62 %","13,67 %","2,9","2,0"
qual o clima do peru,8,0,59,0,"13,56 %",0 %,"3,5","0,00"
mapa turistico de cusco,8,0,184,0,"4,35 %",0 %,"3,5","0,00"
cuzco peru,8,19,1567,2001,"0,51 %","0,95 %",12,10
amazon tour from cusco,8,0,44,0,"18,18 %",0 %,"5,3","0,00"
sitio arqueologico inca,8,26,27,73,"29,63 %","35,62 %","1,2","1,2"
dia de la pachamama,8,78,291,2972,"2,75 %","2,62 %","8,5","8,4"
machu picchu tour from cusco,8,0,107,0,"7,48 %",0 %,"8,7","0,00"
peru clima,8,25,824,1309,"0,97 %","1,91 %","9,9","8,7"
fiestas del cusco 2018,8,19,33,63,"24,24 %","30,16 %","1,0","1,1"
boleto general cusco,8,16,40,41,20 %,"39,02 %","1,6","1,8"
fiesta religiosa de la sierra del peru,8,10,45,37,"17,78 %","27,03 %","1,4","1,3"
lima peru altitude,8,12,231,207,"3,46 %","5,8 %","5,6","4,4"
plaza de puno,8,9,63,136,"12,7 %","6,62 %","2,7","3,2"
caracteristicas del volcan misti,8,0,35,0,"22,86 %",0 %,"1,0","0,00"
precio bus machu picchu,8,12,21,43,"38,1 %","27,91 %","3,0","1,0"
tour a cusco desde arequipa,8,10,24,36,"33,33 %","27,78 %","1,8","1,1"
conciertos en cusco,8,10,30,25,"26,67 %",40 %,"3,5","3,6"
agencia de turismo em cusco,8,0,71,0,"11,27 %",0 %,"1,2","0,00"
museo cusco,8,11,110,102,"7,27 %","10,78 %","2,2","2,0"
mistura peru 2018,8,15,87,172,"9,2 %","8,72 %","6,1","6,2"
el clima del peru,8,0,218,0,"3,67 %",0 %,"9,3","0,00"
santuranticuy,8,9,55,39,"14,55 %","23,08 %","1,2","1,0"
dunas de ica,8,9,798,1014,1 %,"0,89 %","8,4","7,8"
museo inca cusco,8,9,70,71,"11,43 %","12,68 %","2,1","1,3"
chinchero,8,28,868,1099,"0,92 %","2,55 %","8,3","8,5"
festivais do peru,8,0,20,0,40 %,0 %,"1,9","0,00"
lugar turistico machu picchu,8,8,35,29,"22,86 %","27,59 %","1,4","1,1"
donde comprar boletos para machu picchu en cusco,8,15,30,50,"26,67 %",30 %,"1,2","1,1"
museo arzobispal cusco,8,12,47,44,"17,02 %","27,27 %","2,3","2,1"
tour al cusco,8,10,104,153,"7,69 %","6,54 %","2,5","1,9"
fiestas patronales de la sierra del peru,8,8,71,44,"11,27 %","18,18 %","3,1","2,8"
informacion de raqchi,8,10,46,48,"17,39 %","20,83 %","1,5","1,5"
pisac archaeological park,8,8,35,36,"22,86 %","22,22 %","1,9","1,4"
parque arqueologico de ollantaytambo,8,14,39,44,"20,51 %","31,82 %","1,1","1,4"
fiesta del sol peru,8,7,116,100,"6,9 %",7 %,"6,3","5,7"
sacsayhuamán,8,18,1868,3710,"0,43 %","0,49 %","4,2","3,0"
inti raymi en ingles,8,15,26,40,"30,77 %","37,5 %","3,3","3,0"
tours desde cusco,8,8,62,65,"12,9 %","12,31 %","3,3","2,7"
fiestas del cusco,8,24,126,172,"6,35 %","13,95 %","4,0","3,0"
cuales son los climas de la costa,8,7,153,95,"5,23 %","7,37 %","4,1","3,3"
historia del corpus christi cusco,7,0,14,0,50 %,0 %,"1,1","0,00"
partes principales de la catedral de lima,7,0,44,0,"15,91 %",0 %,"2,8","0,00"
virgen de candelaria,7,11,361,371,"1,94 %","2,96 %","7,0","7,4"
boleto turistico integral cusco,7,12,14,24,50 %,50 %,"1,4","1,4"
pichingoto,7,0,72,0,"9,72 %",0 %,"2,7","0,00"
boleto valle sagrado,7,8,17,15,"41,18 %","53,33 %","1,2","1,2"
iglesia san francisco lima,7,11,681,669,"1,03 %","1,64 %","3,2","4,0"
machu picchu que ver,7,0,14,0,50 %,0 %,"2,5","0,00"
cronograma de las fiestas del cusco,7,0,36,0,"19,44 %",0 %,"2,1","0,00"
machu picchu ciudad,7,0,190,0,"3,68 %",0 %,"1,9","0,00"
andenes de moray,7,0,88,0,"7,95 %",0 %,"1,4","0,00"
tamaño de la ciudadela y de las construcciones,7,12,91,51,"7,69 %","23,53 %","2,0","1,4"
arequipa informacion,7,0,146,0,"4,79 %",0 %,"5,3","0,00"
celebraciones en peru,7,0,394,0,"1,78 %",0 %,"6,5","0,00"
clima de la region costa,7,13,127,182,"5,51 %","7,14 %","5,4","5,0"
ciudadela de machu picchu en cusco,7,0,20,0,35 %,0 %,"1,2","0,00"
santos de la sierra peruana,7,13,20,52,35 %,25 %,"1,5","2,0"
food festival lima,7,0,26,0,"26,92 %",0 %,"1,8","0,00"
huayna picchu tour,7,0,43,0,"16,28 %",0 %,"5,7","0,00"
la historia del inti raymi,7,0,26,0,"26,92 %",0 %,"2,4","0,00"
impuesto de peru,7,9,20,20,35 %,45 %,"1,1","1,3"
museo en cusco,7,10,46,55,"15,22 %","18,18 %","1,4","1,2"
ticket turístico cusco,7,0,11,0,"63,64 %",0 %,"1,0","0,00"
peru tours cusco,7,0,98,0,"7,14 %",0 %,"4,1","0,00"
museo de arte religioso cusco,7,8,48,41,"14,58 %","19,51 %","2,1","1,7"
ciudad de lima peru,7,0,331,0,"2,11 %",0 %,10,"0,00"
museu de arte contemporânea cusco,7,8,36,43,"19,44 %","18,6 %","1,7","1,5"
coricancha museum,7,10,55,49,"12,73 %","20,41 %","1,0","1,0"
como comprar tickets para machu picchu,7,0,17,0,"41,18 %",0 %,"2,2","0,00"
entrada machu picchu,7,30,440,1058,"1,59 %","2,84 %","8,7","6,6"
porque fue reconocido como patrimonio cultural de la humanidad machu picchu,7,0,18,0,"38,89 %",0 %,"1,7","0,00"
virgen candelaria,7,0,224,0,"3,12 %",0 %,"6,9","0,00"
conciertos cusco,7,0,39,0,"17,95 %",0 %,"4,1","0,00"
sitio arqueologico ollantaytambo,7,9,33,28,"21,21 %","32,14 %","2,2","1,8"
clima no peru,7,13,149,229,"4,7 %","5,68 %","5,8","6,0"
museos del cusco,7,12,61,62,"11,48 %","19,35 %","1,5","1,1"
boleto turístico,7,15,27,53,"25,93 %","28,3 %","2,1","2,3"
descripcion de machu picchu corto,7,0,25,0,28 %,0 %,"1,0","0,00"
afiche de machu picchu,7,0,48,0,"14,58 %",0 %,"1,0","0,00"
cañon de cotahuasi,7,17,1003,925,"0,7 %","1,84 %","7,3","6,5"
entrada coricancha,7,12,20,22,35 %,"54,55 %","1,7","1,0"
parque de las leyendas descripcion,7,0,28,0,25 %,0 %,"2,4","0,00"
palacio arzobispal cusco,7,19,54,64,"12,96 %","29,69 %","2,0","1,8"
economia do peru,7,0,501,0,"1,4 %",0 %,10,"0,00"
sacsayhuaman en ingles,7,17,9,25,"77,78 %",68 %,"1,0","1,3"
plaza de armas de arequipa ubicacion,7,0,36,0,"19,44 %",0 %,"3,0","0,00"
tour a machupichu,7,12,80,101,"8,75 %","11,88 %","5,1","4,1"
fiesta religiosa de la sierra peruana,7,0,26,0,"26,92 %",0 %,"2,3","0,00"
caracteristicas de la huacachina,7,0,46,0,"15,22 %",0 %,"3,4","0,00"
carnaval cusqueño traje,7,0,46,0,"15,22 %",0 %,"3,5","0,00"
tours a machupichu,7,0,54,0,"12,96 %",0 %,"4,5","0,00"
descripcion de machupichu,7,0,16,0,"43,75 %",0 %,"1,0","0,00"
catedral de lima estilos arquitectónicos,7,0,56,0,"12,5 %",0 %,"2,1","0,00"
exchange rate peru,7,0,530,0,"1,32 %",0 %,"5,1","0,00"
que es machu picchu,7,21,1359,1200,"0,52 %","1,75 %","6,6","7,7"
